ICD-10-CM Diagnosis Code & Name	Uniqe Patient Count
H25.10 Age-related nuclear cataract, unspecified eye	154
H25.11 Age-related nuclear cataract, right eye	2,042
H25.12 Age-related nuclear cataract, left eye	2,066
H25.13 Age-related nuclear cataract, bilateral	10,988
H25.20 Age-related cataract, morgagnian type, unspecified eye	3
H25.21 Age-related cataract, morgagnian type, right eye	2
H25.22 Age-related cataract, morgagnian type, left eye	4
H25.811 Combined forms of age-related cataract, right eye	335
H25.812 Combined forms of age-related cataract, left eye	362
H25.813 Combined forms of age-related cataract, bilateral	2,082
H25.819 Combined forms of age-related cataract, unspecified eye	12
H25.89 Other age-related cataract	622
H25.9 Unspecified age-related cataract	2,527
H26.001 Unspecified infantile and juvenile cataract, right eye	2
H26.003 Unspecified infantile and juvenile cataract, bilateral	1
H26.011 Infantile and juv cortical/lamellar/zonular cataract, r eye	1
H26.013 Infantile and juv cortical/lamellar/zonular cataract, bi	1
H26.033 Infantile and juvenile nuclear cataract, bilateral	1
H26.051 Post subcapsular polar infantile and juv cataract, r eye	1
H26.052 Post subcapsular polar infantile and juv cataract, left eye	2
H26.09 Other infantile and juvenile cataract	1
H26.101 Unspecified traumatic cataract, right eye	14
H26.102 Unspecified traumatic cataract, left eye	18
H26.103 Unspecified traumatic cataract, bilateral	2
H26.109 Unspecified traumatic cataract, unspecified eye	1
H26.111 Localized traumatic opacities, right eye	1
H26.112 Localized traumatic opacities, left eye	3
H26.131 Total traumatic cataract, right eye	4
H26.132 Total traumatic cataract, left eye	5
H26.20 Unspecified complicated cataract	7
H26.221 Cataract secondary to ocular disorders, right eye	3
H26.222 Cataract secondary to ocular disorders, left eye	2
H26.223 Cataract secondary to ocular disorders, bilateral	1
H26.31 Drug-induced cataract, right eye	4
H26.32 Drug-induced cataract, left eye	1
H26.33 Drug-induced cataract, bilateral	3
H26.40 Unspecified secondary cataract	1,193
H26.411 Soemmering's ring, right eye	1
H26.412 Soemmering's ring, left eye	1
H26.491 Other secondary cataract, right eye	413
H26.492 Other secondary cataract, left eye	389
H26.493 Other secondary cataract, bilateral	470
H26.499 Other secondary cataract, unspecified eye	11
H26.8 Other specified cataract	303
H26.9 Unspecified cataract	4,594
H27.00 Aphakia, unspecified eye	1
H27.01 Aphakia, right eye	57
H27.02 Aphakia, left eye	60
H27.03 Aphakia, bilateral	42
H27.10 Unspecified dislocation of lens	4
H27.111 Subluxation of lens, right eye	5
H27.112 Subluxation of lens, left eye	6
H27.113 Subluxation of lens, bilateral	2
H27.119 Subluxation of lens, unspecified eye	1
H27.121 Anterior dislocation of lens, right eye	1
H27.122 Anterior dislocation of lens, left eye	1
H27.131 Posterior dislocation of lens, right eye	3
H27.132 Posterior dislocation of lens, left eye	14
H27.133 Posterior dislocation of lens, bilateral	2
H27.8 Other specified disorders of lens	13
H27.9 Unspecified disorder of lens	2
H28 Cataract in diseases classified elsewhere	1
H30.009 Unsp focal chorioretinal inflammation, unspecified eye	1
H30.043 Focal chorioretin inflam, macular or paramacular, bilateral	1
H30.103 Unsp disseminated chorioretinal inflammation, bilateral	1
H30.131 Dissem chorioretin inflammation, generalized, right eye	3
H30.132 Disseminated chorioretin inflammation, generalized, left eye	1
H30.139 Disseminated chorioretin inflammation, generalized, unsp eye	1
H30.141 Acute post multifoc placoid pigment epitheliopathy, r eye	2
H30.142 Acute post multifoc placoid pigment epitheliopathy, left eye	5
H30.143 Acute posterior multifoc placoid pigment epitheliopathy, bi	4
H30.149 Acute post multifoc placoid pigment epitheliopathy, unsp eye	1
H30.20 Posterior cyclitis, unspecified eye	1
H30.21 Posterior cyclitis, right eye	3
H30.22 Posterior cyclitis, left eye	4
H30.23 Posterior cyclitis, bilateral	9
H30.819 Harada's disease, unspecified eye	2
H30.891 Other chorioretinal inflammations, right eye	1
H30.892 Other chorioretinal inflammations, left eye	1
H30.893 Other chorioretinal inflammations, bilateral	2
H30.899 Other chorioretinal inflammations, unspecified eye	3
H30.90 Unspecified chorioretinal inflammation, unspecified eye	6
H30.91 Unspecified chorioretinal inflammation, right eye	8
H30.92 Unspecified chorioretinal inflammation, left eye	9
H30.93 Unspecified chorioretinal inflammation, bilateral	11
H31.001 Unspecified chorioretinal scars, right eye	150
H31.002 Unspecified chorioretinal scars, left eye	138
H31.003 Unspecified chorioretinal scars, bilateral	42
H31.009 Unspecified chorioretinal scars, unspecified eye	4
H31.011 Macula scars of posterior pole (post-traumatic), right eye	67
H31.012 Macula scars of posterior pole (post-traumatic), left eye	61
H31.013 Macula scars of posterior pole (post-traumatic), bilateral	14
H31.019 Macula scars of posterior pole (post-traumatic), unsp eye	2
H31.021 Solar retinopathy, right eye	2
H31.023 Solar retinopathy, bilateral	1
H31.091 Other chorioretinal scars, right eye	4
H31.092 Other chorioretinal scars, left eye	5
H31.093 Other chorioretinal scars, bilateral	5
H31.099 Other chorioretinal scars, unspecified eye	2
H31.101 Choroidal degeneration, unspecified, right eye	3
H31.102 Choroidal degeneration, unspecified, left eye	4
H31.103 Choroidal degeneration, unspecified, bilateral	52
H31.109 Choroidal degeneration, unspecified, unspecified eye	1
H31.21 Choroideremia	1
H31.22 Choroidal dystrophy (central areolar) (peripapillary)	1
H31.23 Gyrate atrophy, choroid	1
H31.301 Unspecified choroidal hemorrhage, right eye	1
H31.302 Unspecified choroidal hemorrhage, left eye	1
H31.321 Choroidal rupture, right eye	5
H31.322 Choroidal rupture, left eye	2
H31.401 Unspecified choroidal detachment, right eye	1
H31.8 Other specified disorders of choroid	12
H31.9 Unspecified disorder of choroid	10
H32 Chorioretinal disorders in diseases classified elsewhere	36
H33.001 Unspecified retinal detachment with retinal break, right eye	57
H33.002 Unspecified retinal detachment with retinal break, left eye	73
H33.003 Unspecified retinal detachment with retinal break, bilateral	2
H33.009 Unsp retinal detachment with retinal break, unspecified eye	1
H33.011 Retinal detachment with single break, right eye	9
H33.012 Retinal detachment with single break, left eye	5
H33.013 Retinal detachment with single break, bilateral	1
H33.021 Retinal detachment with multiple breaks, right eye	2
H33.022 Retinal detachment with multiple breaks, left eye	3
H33.023 Retinal detachment with multiple breaks, bilateral	1
H33.031 Retinal detachment with giant retinal tear, right eye	4
H33.032 Retinal detachment with giant retinal tear, left eye	5
H33.051 Total retinal detachment, right eye	5
H33.052 Total retinal detachment, left eye	7
H33.053 Total retinal detachment, bilateral	1
H33.101 Unspecified retinoschisis, right eye	29
H33.102 Unspecified retinoschisis, left eye	32
H33.103 Unspecified retinoschisis, bilateral	33
H33.109 Unspecified retinoschisis, unspecified eye	1
H33.191 Other retinoschisis and retinal cysts, right eye	2
H33.192 Other retinoschisis and retinal cysts, left eye	10
H33.193 Other retinoschisis and retinal cysts, bilateral	8
H33.20 Serous retinal detachment, unspecified eye	18
H33.21 Serous retinal detachment, right eye	164
H33.22 Serous retinal detachment, left eye	154
H33.23 Serous retinal detachment, bilateral	33
H33.301 Unspecified retinal break, right eye	187
H33.302 Unspecified retinal break, left eye	177
H33.303 Unspecified retinal break, bilateral	38
H33.309 Unspecified retinal break, unspecified eye	7
H33.311 Horseshoe tear of retina without detachment, right eye	46
H33.312 Horseshoe tear of retina without detachment, left eye	45
H33.313 Horseshoe tear of retina without detachment, bilateral	7
H33.319 Horseshoe tear of retina without detachment, unspecified eye	1
H33.321 Round hole, right eye	55
H33.322 Round hole, left eye	46
H33.323 Round hole, bilateral	21
H33.329 Round hole, unspecified eye	3
H33.331 Multiple defects of retina without detachment, right eye	2
H33.332 Multiple defects of retina without detachment, left eye	5
H33.40 Traction detachment of retina, unspecified eye	4
H33.41 Traction detachment of retina, right eye	5
H33.42 Traction detachment of retina, left eye	11
H33.43 Traction detachment of retina, bilateral	4
H33.8 Other retinal detachments	31
H34.00 Transient retinal artery occlusion, unspecified eye	3
H34.01 Transient retinal artery occlusion, right eye	2
H34.03 Transient retinal artery occlusion, bilateral	1
H34.10 Central retinal artery occlusion, unspecified eye	16
H34.11 Central retinal artery occlusion, right eye	38
H34.12 Central retinal artery occlusion, left eye	25
H34.13 Central retinal artery occlusion, bilateral	2
H34.211 Partial retinal artery occlusion, right eye	23
H34.212 Partial retinal artery occlusion, left eye	23
H34.213 Partial retinal artery occlusion, bilateral	2
H34.219 Partial retinal artery occlusion, unspecified eye	11
H34.231 Retinal artery branch occlusion, right eye	47
H34.232 Retinal artery branch occlusion, left eye	37
H34.233 Retinal artery branch occlusion, bilateral	2
H34.239 Retinal artery branch occlusion, unspecified eye	7
H34.811 Central retinal vein occlusion, right eye	37
H34.8110 Central retinal vein occls, right eye, with macular edema	3
H34.8112 Central retinal vein occlusion, right eye, stable	49
H34.812 Central retinal vein occlusion, left eye	52
H34.8120 Central retinal vein occlusion, left eye, with macular edema	11
H34.8122 Central retinal vein occlusion, left eye, stable	54
H34.813 Central retinal vein occlusion, bilateral	1
H34.8132 Central retinal vein occlusion, bilateral, stable	5
H34.819 Central retinal vein occlusion, unspecified eye	1
H34.8190 Central retinal vein occlusion, unsp, with macular edema	1
H34.8192 Central retinal vein occlusion, unspecified eye, stable	85
H34.821 Venous engorgement, right eye	1
H34.822 Venous engorgement, left eye	1
H34.831 Tributary (branch) retinal vein occlusion, right eye	64
H34.8310 Trib rtnl vein occlusion, right eye, with macular edema	11
H34.8311 Trib rtnl vein occlusion, right eye, w rtnl neovas	1
H34.8312 Tributary (branch) retinal vein occlusion, right eye, stable	74
H34.832 Tributary (branch) retinal vein occlusion, left eye	55
H34.8320 Trib rtnl vein occlusion, left eye, with macular edema	9
H34.8321 Trib rtnl vein occlusion, left eye, w rtnl neovas	2
H34.8322 Tributary (branch) retinal vein occlusion, left eye, stable	81
H34.833 Tributary (branch) retinal vein occlusion, bilateral	1
H34.8330 Trib rtnl vein occlusion, bilateral, with macular edema	1
H34.8331 Trib rtnl vein occlusion, bilateral, w rtnl neovas	1
H34.8332 Tributary (branch) retinal vein occlusion, bilateral, stable	6
H34.839 Tributary (branch) retinal vein occlusion, unspecified eye	4
H34.8390 Trib rtnl vein occlusion, unsp, with macular edema	3
H34.8392 Trib rtnl vein occlusion, unspecified eye, stable	92
H34.9 Unspecified retinal vascular occlusion	96
H35.00 Unspecified background retinopathy	71
H35.011 Changes in retinal vascular appearance, right eye	2
H35.012 Changes in retinal vascular appearance, left eye	6
H35.019 Changes in retinal vascular appearance, unspecified eye	1
H35.021 Exudative retinopathy, right eye	3
H35.022 Exudative retinopathy, left eye	2
H35.023 Exudative retinopathy, bilateral	1
H35.031 Hypertensive retinopathy, right eye	2
H35.032 Hypertensive retinopathy, left eye	5
H35.033 Hypertensive retinopathy, bilateral	45
H35.039 Hypertensive retinopathy, unspecified eye	12
H35.041 Retinal micro-aneurysms, unspecified, right eye	12
H35.042 Retinal micro-aneurysms, unspecified, left eye	16
H35.043 Retinal micro-aneurysms, unspecified, bilateral	2
H35.049 Retinal micro-aneurysms, unspecified, unspecified eye	1
H35.051 Retinal neovascularization, unspecified, right eye	18
H35.052 Retinal neovascularization, unspecified, left eye	25
H35.053 Retinal neovascularization, unspecified, bilateral	13
H35.059 Retinal neovascularization, unspecified, unspecified eye	2
H35.061 Retinal vasculitis, right eye	8
H35.062 Retinal vasculitis, left eye	2
H35.063 Retinal vasculitis, bilateral	7
H35.069 Retinal vasculitis, unspecified eye	3
H35.071 Retinal telangiectasis, right eye	3
H35.072 Retinal telangiectasis, left eye	2
H35.073 Retinal telangiectasis, bilateral	7
H35.079 Retinal telangiectasis, unspecified eye	2
H35.09 Other intraretinal microvascular abnormalities	32
H35.101 Retinopathy of prematurity, unspecified, right eye	6
H35.102 Retinopathy of prematurity, unspecified, left eye	2
H35.103 Retinopathy of prematurity, unspecified, bilateral	249
H35.109 Retinopathy of prematurity, unspecified, unspecified eye	52
H35.111 Retinopathy of prematurity, stage 0, right eye	5
H35.112 Retinopathy of prematurity, stage 0, left eye	3
H35.113 Retinopathy of prematurity, stage 0, bilateral	87
H35.119 Retinopathy of prematurity, stage 0, unspecified eye	1
H35.121 Retinopathy of prematurity, stage 1, right eye	12
H35.122 Retinopathy of prematurity, stage 1, left eye	12
H35.123 Retinopathy of prematurity, stage 1, bilateral	94
H35.129 Retinopathy of prematurity, stage 1, unspecified eye	38
H35.131 Retinopathy of prematurity, stage 2, right eye	8
H35.132 Retinopathy of prematurity, stage 2, left eye	4
H35.133 Retinopathy of prematurity, stage 2, bilateral	49
H35.139 Retinopathy of prematurity, stage 2, unspecified eye	11
H35.141 Retinopathy of prematurity, stage 3, right eye	4
H35.142 Retinopathy of prematurity, stage 3, left eye	3
H35.143 Retinopathy of prematurity, stage 3, bilateral	17
H35.149 Retinopathy of prematurity, stage 3, unspecified eye	3
H35.152 Retinopathy of prematurity, stage 4, left eye	1
H35.169 Retinopathy of prematurity, stage 5, unspecified eye	1
H35.171 Retrolental fibroplasia, right eye	1
H35.173 Retrolental fibroplasia, bilateral	3
H35.179 Retrolental fibroplasia, unspecified eye	2
H35.20 Other non-diabetic proliferative retinopathy, unsp eye	1
H35.22 Other non-diabetic proliferative retinopathy, left eye	2
H35.23 Other non-diabetic proliferative retinopathy, bilateral	3
H35.30 Unspecified macular degeneration	2,285
H35.31 Nonexudative age-related macular degeneration	833
H35.3110 Nexdtve age-related mclr degn, right eye, stage unspecified	177
H35.3111 Nexdtve age-related mclr degn, right eye, early dry stage	13
H35.3112 Nexdtve age-related mclr degn, right eye, intermed dry stage	9
H35.3113 Nexdtve age-rel mclr degn, r eye, adv atrpc w/o sbfvl involv	1
H35.3114 Nexdtve age-rel mclr degn, r eye, adv atrpc w sbfvl involv	2
H35.3120 Nexdtve age-related mclr degn, left eye, stage unspecified	183
H35.3121 Nexdtve age-related mclr degn, left eye, early dry stage	15
H35.3122 Nexdtve age-related mclr degn, left eye, intermed dry stage	7
H35.3123 Nexdtve age-rel mclr degn, l eye, adv atrpc w/o sbfvl involv	3
H35.3124 Nexdtve age-rel mclr degn, l eye, adv atrpc w sbfvl involv	2
H35.3130 Nexdtve age-related mclr degn, bilateral, stage unspecified	832
H35.3131 Nexdtve age-related mclr degn, bilateral, early dry stage	149
H35.3132 Nexdtve age-related mclr degn, bilateral, intermed dry stage	51
H35.3133 Nexdtve age-rel mclr degn, bi, adv atrpc w/o sbfvl involv	4
H35.3134 Nexdtve age-rel mclr degn, bi, adv atrpc with sbfvl involv	10
H35.3190 Nonexudative age-related mclr degn, unsp, stage unspecified	788
H35.32 Exudative age-related macular degeneration	541
H35.3210 Exudative age-rel mclr degn, right eye, stage unspecified	336
H35.3211 Exdtve age-rel mclr degn, right eye, with actv chrdl neovas	2
H35.3212 Exdtve age-rel mclr degn, right eye, with inact chrdl neovas	2
H35.3213 Exudative age-rel mclr degn, right eye, with inactive scar	3
H35.3220 Exudative age-related mclr degn, left eye, stage unspecified	311
H35.3221 Exdtve age-rel mclr degn, left eye, with actv chrdl neovas	5
H35.3223 Exudative age-rel mclr degn, left eye, with inactive scar	1
H35.3230 Exudative age-rel mclr degn, bilateral, stage unspecified	194
H35.3231 Exudative age-rel mclr degn, bi, with actv chrdl neovas	8
H35.3232 Exudative age-rel mclr degn, bi, with inact chrdl neovas	2
H35.3233 Exudative age-rel mclr degn, bilateral, with inactive scar	3
H35.3290 Exudative age-related mclr degn, unsp, stage unspecified	257
H35.33 Angioid streaks of macula	4
H35.341 Macular cyst, hole, or pseudohole, right eye	160
H35.342 Macular cyst, hole, or pseudohole, left eye	149
H35.343 Macular cyst, hole, or pseudohole, bilateral	26
H35.349 Macular cyst, hole, or pseudohole, unspecified eye	5
H35.351 Cystoid macular degeneration, right eye	32
H35.352 Cystoid macular degeneration, left eye	46
H35.353 Cystoid macular degeneration, bilateral	22
H35.359 Cystoid macular degeneration, unspecified eye	4
H35.361 Drusen (degenerative) of macula, right eye	61
H35.362 Drusen (degenerative) of macula, left eye	75
H35.363 Drusen (degenerative) of macula, bilateral	391
H35.369 Drusen (degenerative) of macula, unspecified eye	41
H35.371 Puckering of macula, right eye	679
H35.372 Puckering of macula, left eye	757
H35.373 Puckering of macula, bilateral	434
H35.379 Puckering of macula, unspecified eye	13
H35.383 Toxic maculopathy, bilateral	1
H35.40 Unspecified peripheral retinal degeneration	266
H35.411 Lattice degeneration of retina, right eye	85
H35.412 Lattice degeneration of retina, left eye	71
H35.413 Lattice degeneration of retina, bilateral	187
H35.419 Lattice degeneration of retina, unspecified eye	4
H35.423 Microcystoid degeneration of retina, bilateral	1
H35.431 Paving stone degeneration of retina, right eye	13
H35.432 Paving stone degeneration of retina, left eye	8
H35.433 Paving stone degeneration of retina, bilateral	46
H35.439 Paving stone degeneration of retina, unspecified eye	2
H35.443 Age-related reticular degeneration of retina, bilateral	4
H35.452 Secondary pigmentary degeneration, left eye	1
H35.453 Secondary pigmentary degeneration, bilateral	1
H35.461 Secondary vitreoretinal degeneration, right eye	9
H35.462 Secondary vitreoretinal degeneration, left eye	5
H35.463 Secondary vitreoretinal degeneration, bilateral	2
H35.50 Unspecified hereditary retinal dystrophy	29
H35.51 Vitreoretinal dystrophy	6
H35.52 Pigmentary retinal dystrophy	94
H35.53 Other dystrophies primarily involving the sensory retina	20
H35.54 Dystrophies primarily w the retinal pigment epithelium	107
H35.60 Retinal hemorrhage, unspecified eye	26
H35.61 Retinal hemorrhage, right eye	126
H35.62 Retinal hemorrhage, left eye	113
H35.63 Retinal hemorrhage, bilateral	56
H35.711 Central serous chorioretinopathy, right eye	21
H35.712 Central serous chorioretinopathy, left eye	22
H35.713 Central serous chorioretinopathy, bilateral	18
H35.719 Central serous chorioretinopathy, unspecified eye	1
H35.721 Serous detachment of retinal pigment epithelium, right eye	28
H35.722 Serous detachment of retinal pigment epithelium, left eye	19
H35.723 Serous detachment of retinal pigment epithelium, bilateral	9
H35.729 Serous detachment of retinal pigment epithelium, unsp eye	1
H35.81 Retinal edema	156
H35.82 Retinal ischemia	27
H35.89 Other specified retinal disorders	524
H35.9 Unspecified retinal disorder	187
H40.001 Preglaucoma, unspecified, right eye	136
H40.002 Preglaucoma, unspecified, left eye	137
H40.003 Preglaucoma, unspecified, bilateral	2,405
H40.009 Preglaucoma, unspecified, unspecified eye	111
H40.011 Open angle with borderline findings, low risk, right eye	2
H40.012 Open angle with borderline findings, low risk, left eye	7
H40.013 Open angle with borderline findings, low risk, bilateral	224
H40.019 Open angle with borderline findings, low risk, unsp eye	14
H40.021 Open angle with borderline findings, high risk, right eye	4
H40.022 Open angle with borderline findings, high risk, left eye	3
H40.023 Open angle with borderline findings, high risk, bilateral	82
H40.029 Open angle with borderline findings, high risk, unsp eye	3
H40.031 Anatomical narrow angle, right eye	10
H40.032 Anatomical narrow angle, left eye	7
H40.033 Anatomical narrow angle, bilateral	77
H40.039 Anatomical narrow angle, unspecified eye	41
H40.041 Steroid responder, right eye	22
H40.042 Steroid responder, left eye	14
H40.043 Steroid responder, bilateral	15
H40.049 Steroid responder, unspecified eye	1
H40.051 Ocular hypertension, right eye	107
H40.052 Ocular hypertension, left eye	120
H40.053 Ocular hypertension, bilateral	713
H40.059 Ocular hypertension, unspecified eye	94
H40.10X0 Unspecified open-angle glaucoma, stage unspecified	235
H40.10X1 Unspecified open-angle glaucoma, mild stage	110
H40.10X2 Unspecified open-angle glaucoma, moderate stage	45
H40.10X3 Unspecified open-angle glaucoma, severe stage	44
H40.10X4 Unspecified open-angle glaucoma, indeterminate stage	14
H40.1110 Primary open-angle glaucoma, right eye, stage unspecified	90
H40.1111 Primary open-angle glaucoma, right eye, mild stage	67
H40.1112 Primary open-angle glaucoma, right eye, moderate stage	65
H40.1113 Primary open-angle glaucoma, right eye, severe stage	102
H40.1114 Primary open-angle glaucoma, right eye, indeterminate stage	7
H40.1120 Primary open-angle glaucoma, left eye, stage unspecified	80
H40.1121 Primary open-angle glaucoma, left eye, mild stage	73
H40.1122 Primary open-angle glaucoma, left eye, moderate stage	68
H40.1123 Primary open-angle glaucoma, left eye, severe stage	103
H40.1124 Primary open-angle glaucoma, left eye, indeterminate stage	10
H40.1130 Primary open-angle glaucoma, bilateral, stage unspecified	674
H40.1131 Primary open-angle glaucoma, bilateral, mild stage	719
H40.1132 Primary open-angle glaucoma, bilateral, moderate stage	489
H40.1133 Primary open-angle glaucoma, bilateral, severe stage	371
H40.1134 Primary open-angle glaucoma, bilateral, indeterminate stage	87
H40.1190 Primary open-angle glaucoma, unsp, stage unspecified	250
H40.1191 Primary open-angle glaucoma, unspecified eye, mild stage	11
H40.1192 Primary open-angle glaucoma, unspecified eye, moderate stage	13
H40.1193 Primary open-angle glaucoma, unspecified eye, severe stage	22
H40.1194 Primary open-angle glaucoma, unsp, indeterminate stage	10
H40.11X0 Primary open-angle glaucoma, stage unspecified	382
H40.11X1 Primary open-angle glaucoma, mild stage	376
H40.11X2 Primary open-angle glaucoma, moderate stage	308
H40.11X3 Primary open-angle glaucoma, severe stage	229
H40.11X4 Primary open-angle glaucoma, indeterminate stage	36
H40.1210 Low-tension glaucoma, right eye, stage unspecified	6
H40.1211 Low-tension glaucoma, right eye, mild stage	14
H40.1212 Low-tension glaucoma, right eye, moderate stage	8
H40.1214 Low-tension glaucoma, right eye, indeterminate stage	1
H40.1220 Low-tension glaucoma, left eye, stage unspecified	4
H40.1221 Low-tension glaucoma, left eye, mild stage	6
H40.1222 Low-tension glaucoma, left eye, moderate stage	13
H40.1223 Low-tension glaucoma, left eye, severe stage	3
H40.1224 Low-tension glaucoma, left eye, indeterminate stage	3
H40.1230 Low-tension glaucoma, bilateral, stage unspecified	39
H40.1231 Low-tension glaucoma, bilateral, mild stage	39
H40.1232 Low-tension glaucoma, bilateral, moderate stage	22
H40.1233 Low-tension glaucoma, bilateral, severe stage	11
H40.1234 Low-tension glaucoma, bilateral, indeterminate stage	7
H40.1290 Low-tension glaucoma, unspecified eye, stage unspecified	16
H40.1291 Low-tension glaucoma, unspecified eye, mild stage	1
H40.1292 Low-tension glaucoma, unspecified eye, moderate stage	2
H40.1310 Pigmentary glaucoma, right eye, stage unspecified	2
H40.1311 Pigmentary glaucoma, right eye, mild stage	2
H40.1313 Pigmentary glaucoma, right eye, severe stage	2
H40.1314 Pigmentary glaucoma, right eye, indeterminate stage	1
H40.1320 Pigmentary glaucoma, left eye, stage unspecified	1
H40.1321 Pigmentary glaucoma, left eye, mild stage	5
H40.1322 Pigmentary glaucoma, left eye, moderate stage	2
H40.1323 Pigmentary glaucoma, left eye, severe stage	3
H40.1330 Pigmentary glaucoma, bilateral, stage unspecified	16
H40.1331 Pigmentary glaucoma, bilateral, mild stage	12
H40.1332 Pigmentary glaucoma, bilateral, moderate stage	6
H40.1333 Pigmentary glaucoma, bilateral, severe stage	5
H40.1334 Pigmentary glaucoma, bilateral, indeterminate stage	2
H40.1390 Pigmentary glaucoma, unspecified eye, stage unspecified	2
H40.1393 Pigmentary glaucoma, unspecified eye, severe stage	1
H40.1394 Pigmentary glaucoma, unspecified eye, indeterminate stage	1
H40.1410 Capslr glaucoma w/pseudxf lens, right eye, stage unsp	2
H40.1411 Capslr glaucoma w/pseudxf lens, right eye, mild stage	18
H40.1412 Capslr glaucoma w/pseudxf lens, right eye, moderate stage	15
H40.1413 Capslr glaucoma w/pseudxf lens, right eye, severe stage	3
H40.1420 Capslr glaucoma w/pseudxf lens, left eye, stage unsp	5
H40.1421 Capslr glaucoma w/pseudxf lens, left eye, mild stage	9
H40.1422 Capslr glaucoma w/pseudxf lens, left eye, moderate stage	6
H40.1423 Capslr glaucoma w/pseudxf lens, left eye, severe stage	5
H40.1424 Capslr glaucoma w/pseudxf lens, l eye, indeterminate stage	1
H40.1430 Capslr glaucoma w/pseudxf lens, bilateral, stage unsp	23
H40.1431 Capslr glaucoma w/pseudxf lens, bilateral, mild stage	19
H40.1432 Capslr glaucoma w/pseudxf lens, bilateral, moderate stage	13
H40.1433 Capslr glaucoma w/pseudxf lens, bilateral, severe stage	11
H40.1434 Capslr glaucoma w/pseudxf lens, bi, indeterminate stage	4
H40.1490 Capslr glaucoma w/pseudxf lens, unsp eye, stage unsp	43
H40.1491 Capslr glaucoma w/pseudxf lens, unsp eye, mild stage	25
H40.1492 Capslr glaucoma w/pseudxf lens, unsp eye, moderate stage	21
H40.1493 Capslr glaucoma w/pseudxf lens, unsp eye, severe stage	20
H40.1494 Capslr glaucoma w/pseudxf lens, unsp eye, indeterminate stg	10
H40.20X0 Unsp primary angle-closure glaucoma, stage unspecified	30
H40.20X1 Unspecified primary angle-closure glaucoma, mild stage	1
H40.20X2 Unspecified primary angle-closure glaucoma, moderate stage	7
H40.20X3 Unspecified primary angle-closure glaucoma, severe stage	5
H40.20X4 Unsp primary angle-closure glaucoma, indeterminate stage	6
H40.211 Acute angle-closure glaucoma, right eye	2
H40.212 Acute angle-closure glaucoma, left eye	4
H40.213 Acute angle-closure glaucoma, bilateral	1
H40.2212 Chronic angle-closure glaucoma, right eye, moderate stage	2
H40.2213 Chronic angle-closure glaucoma, right eye, severe stage	2
H40.2220 Chronic angle-closure glaucoma, left eye, stage unspecified	3
H40.2222 Chronic angle-closure glaucoma, left eye, moderate stage	2
H40.2223 Chronic angle-closure glaucoma, left eye, severe stage	4
H40.2224 Chronic angle-closure glaucoma, l eye, indeterminate stage	1
H40.2230 Chronic angle-closure glaucoma, bilateral, stage unspecified	4
H40.2231 Chronic angle-closure glaucoma, bilateral, mild stage	5
H40.2232 Chronic angle-closure glaucoma, bilateral, moderate stage	4
H40.2233 Chronic angle-closure glaucoma, bilateral, severe stage	5
H40.2234 Chronic angle-closure glaucoma, bi, indeterminate stage	1
H40.2290 Chronic angle-closure glaucoma, unsp eye, stage unspecified	9
H40.2292 Chronic angle-closure glaucoma, unsp eye, moderate stage	1
H40.2293 Chronic angle-closure glaucoma, unsp eye, severe stage	2
H40.2294 Chr angle-closure glaucoma, unsp eye, indeterminate stage	2
H40.241 Residual stage of angle-closure glaucoma, right eye	2
H40.242 Residual stage of angle-closure glaucoma, left eye	3
H40.243 Residual stage of angle-closure glaucoma, bilateral	15
H40.249 Residual stage of angle-closure glaucoma, unspecified eye	1
H40.30X0 Glaucoma secondary to eye trauma, unsp eye, stage unsp	10
H40.30X1 Glaucoma secondary to eye trauma, unsp eye, mild stage	1
H40.31X0 Glaucoma secondary to eye trauma, right eye, stage unsp	6
H40.31X1 Glaucoma secondary to eye trauma, right eye, mild stage	3
H40.31X2 Glaucoma secondary to eye trauma, right eye, moderate stage	1
H40.31X3 Glaucoma secondary to eye trauma, right eye, severe stage	4
H40.31X4 Glaucoma secondary to eye trauma, r eye, indeterminate stage	1
H40.32X0 Glaucoma secondary to eye trauma, left eye, stage unsp	5
H40.32X1 Glaucoma secondary to eye trauma, left eye, mild stage	2
H40.32X2 Glaucoma secondary to eye trauma, left eye, moderate stage	2
H40.32X3 Glaucoma secondary to eye trauma, left eye, severe stage	1
H40.33X0 Glaucoma secondary to eye trauma, bilateral, stage unsp	1
H40.40X0 Glaucoma secondary to eye inflammation, unsp eye, stage unsp	3
H40.41X1 Glaucoma secondary to eye inflam, right eye, mild stage	3
H40.41X2 Glaucoma secondary to eye inflam, right eye, moderate stage	4
H40.41X3 Glaucoma secondary to eye inflam, right eye, severe stage	3
H40.41X4 Glaucoma secondary to eye inflam, r eye, indeterminate stage	1
H40.42X0 Glaucoma secondary to eye inflammation, left eye, stage unsp	1
H40.42X1 Glaucoma secondary to eye inflammation, left eye, mild stage	1
H40.42X2 Glaucoma secondary to eye inflam, left eye, moderate stage	1
H40.42X3 Glaucoma secondary to eye inflam, left eye, severe stage	3
H40.43X0 Glaucoma secondary to eye inflam, bilateral, stage unsp	5
H40.43X2 Glaucoma secondary to eye inflam, bilateral, moderate stage	1
H40.43X3 Glaucoma secondary to eye inflam, bilateral, severe stage	1
H40.50X0 Glaucoma secondary to oth eye disord, unsp eye, stage unsp	15
